ID,Name,Rank,Rarity_Score,Accessory-Scores,Attributes-Scores,Background-Scores,Clothes-Scores,Eyes-Scores,Head-Scores,Legendary-Scores,Mouth-Scores,Skin-Scores,Tattoo-Scores
2789,SadPython #2789,342,130.9602580391656,27,2,4,12,13,41,,19,8,
3163,SadPython #3163,343,130.74769126544857,61,2,5,22,12,,,13,12,
2545,SadPython #2545,344,130.7279367618919,51,2,5,19,10,,,31,9,
2412,SadPython #2412,345,130.64338952972494,27,2,4,18,9,26,,34,7,
3214,SadPython #3214,346,130.5718362231618,,2,4,22,9,22,,16,14,38
286,SadPython #286,347,130.50350950222946,76,2,5,15,9,,,13,8,
1092,SadPython #1092,348,130.29422933380627,30,2,5,15,10,41,,13,10,
580,SadPython #580,349,129.7595655018922,65,2,5,22,9,,,16,8,
1711,SadPython #1711,350,129.7427855427787,70,2,5,18,9,,,14,9,
212,SadPython #212,351,129.7390295208133,,8,5,83,8,,,14,9,
3298,SadPython #3298,352,129.7232841251009,,8,5,83,11,,,12,8,
