ID,Name,Rank,Rarity_Score,Attributes,color,rarity
253,Cape jasmine or gardenia (Kuchinashi),161,1692.1045751633987,2,#ffb95a,standard
254,Capri,161,1692.1045751633987,2,#00bfff,standard
256,Caramel,161,1692.1045751633987,2,#ffd59a,standard
258,Caribbean blue,161,1692.1045751633987,2,#1ac1dd,standard
259,Caribbean green,161,1692.1045751633987,2,#00cc99,standard
260,Carmine,161,1692.1045751633987,2,#960018,standard
261,Carmine (M&amp;P),161,1692.1045751633987,2,#d70040,standard
262,Carmine pink,161,1692.1045751633987,2,#eb4c42,standard
263,Carmine red,161,1692.1045751633987,2,#ff0038,standard
264,Carnation pink,161,1692.1045751633987,2,#ffa6c9,standard
265,Carnelian,161,1692.1045751633987,2,#b31b1b,standard
266,Carolina blue,161,1692.1045751633987,2,#56a0d3,standard
268,Castleton green,161,1692.1045751633987,2,#00563f,standard
269,Catalina blue,161,1692.1045751633987,2,#062a78,standard
270,Catawba,161,1692.1045751633987,2,#703642,standard
271,Cattail color (the plant) (Kaba-iro),161,1692.1045751633987,2,#b64925,standard
273,Ceil,161,1692.1045751633987,2,#92a1cf,standard
274,Celadon,161,1692.1045751633987,2,#ace1af,standard
275,Celadon blue,161,1692.1045751633987,2,#007ba7,standard
276,Celadon color (Seiji-iro),161,1692.1045751633987,2,#819c8b,standard
277,Celadon green,161,1692.1045751633987,2,#2f847c,standard
278,Celeste,161,1692.1045751633987,2,#b2ffff,standard
279,Celestial blue,161,1692.1045751633987,2,#4997d0,standard
280,Celtic blue,161,1692.1045751633987,2,#246bce,standard
282,Cerise pink,161,1692.1045751633987,2,#ec3b83,standard
283,Cerulean blue,161,1692.1045751633987,2,#2a52be,standard
284,Cerulean frost,161,1692.1045751633987,2,#6d9bc3,standard
285,Cetacean blue,161,1692.1045751633987,2,#001440,standard
286,CG blue,161,1692.1045751633987,2,#007aa5,standard
287,CG red,161,1692.1045751633987,2,#e03c31,standard
288,Chamoisee,161,1692.1045751633987,2,#a0785a,standard
289,Champagne,161,1692.1045751633987,2,#f7e7ce,standard
290,Champagne pink,161,1692.1045751633987,2,#f1ddcf,standard
292,Charleston green,161,1692.1045751633987,2,#232b2b,standard
293,Charm,161,1692.1045751633987,2,#d0748b,standard
294,Charm pink,161,1692.1045751633987,2,#e68fac,standard
295,Chartreuse (traditional),161,1692.1045751633987,2,#dfff00,standard
296,Cheese,161,1692.1045751633987,2,#ffa600,standard
297,Cherry blossom color (Sakura-iro),161,1692.1045751633987,2,#fcc9b9,standard
298,Cherry blossom mouse (Sakuranezumi),161,1692.1045751633987,2,#ac8181,standard
299,Cherry blossom pink,161,1692.1045751633987,2,#ffb7c5,standard
300,Chestnut,161,1692.1045751633987,2,#954535,standard
301,Chestnut-leather brown (Kurikawacha),161,1692.1045751633987,2,#60281e,standard
302,Chickadee,161,1692.1045751633987,2,#ffc34d,standard
303,China pink,161,1692.1045751633987,2,#de6fa1,standard
304,China rose,161,1692.1045751633987,2,#a8516e,standard
305,Chinese black,161,1692.1045751633987,2,#141414,standard
306,Chinese blue,161,1692.1045751633987,2,#365194,standard
307,Chinese bronze,161,1692.1045751633987,2,#cd8032,standard
308,Chinese brown,161,1692.1045751633987,2,#ab381f,standard
309,Chinese gold,161,1692.1045751633987,2,#cc9900,standard
310,Chinese green,161,1692.1045751633987,2,#d0db61,standard
311,Chinese orange,161,1692.1045751633987,2,#f37042,standard
312,Chinese pink,161,1692.1045751633987,2,#de70a1,standard
313,Chinese purple,161,1692.1045751633987,2,#720b98,standard
314,Chinese red,161,1692.1045751633987,2,#aa381e,standard
315,Chinese red,161,1692.1045751633987,2,#cd071e,standard
316,Chinese silver,161,1692.1045751633987,2,#cccccc,standard
317,Chinese violet,161,1692.1045751633987,2,#856088,standard
318,Chinese white,161,1692.1045751633987,2,#e2e5de,standard
319,Chinese yellow,161,1692.1045751633987,2,#ffb200,standard
320,Chinese yellow tea-colored (Kigaracha),161,1692.1045751633987,2,#b7702d,standard
321,Chlorophyll green,161,1692.1045751633987,2,#4aff00,standard
322,Chocolate (traditional),161,1692.1045751633987,2,#7b3f00,standard
323,Chocolate brown,161,1692.1045751633987,2,#3f000f,standard
324,Chocolate cosmos,161,1692.1045751633987,2,#58111a,standard
325,Chocolate Kisses,161,1692.1045751633987,2,#3c1421,standard
326,Chrome aluminum,161,1692.1045751633987,2,#a8a9ad,standard
327,Chrome yellow,161,1692.1045751633987,2,#ffa700,standard
328,Cinereous,161,1692.1045751633987,2,#98817b,standard
329,Cinnabar,161,1692.1045751633987,2,#e34234,standard
332,Citrine,161,1692.1045751633987,2,#e4d00a,standard
