ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Body Material,Energy,Flyer,Head,Left Arm,Right Arm
387,Unibot #387,422,73.31216285466054,8,Sahara,Armor 04,Silver,Biodiesel,No,Broken Screen,A007,A007
642,Unibot #642,423,73.30908454554444,8,New York City,Armor 02,Gold,Solar,No,Bee,A010,A010
99,Unibot #99,424,73.29870818544154,8,Buenos Aires,Armor 04,Silver,Geothermal,No,Drone,A005,A005
528,Unibot #528,425,73.28250217624282,8,Sahara,Candy Machine,Silver,Hydraulic,No,Open Helmet,A010,A010
577,Unibot #577,426,73.27424550824728,8,Caracas,Armor 02,Silver,Geothermal,No,Fancy Chappie,A001,A001
562,Unibot #562,427,73.25721413683601,8,Granada,Candy Machine,Silver,Solar,No,Bee,A007,A007
279,Unibot #279,428,73.24736431068955,8,Granada,Mustang Engine,Silver,Solar,No,IG-11,A002,A002
412,Unibot #412,429,73.2469888736788,8,Edo,Armor 01,Silver,Solar,No,Chappie,A010,A010
433,Unibot #433,430,73.22886779161514,8,New York City,Armor 02,Silver,Geothermal,No,IG-11,A007,A007
852,Unibot #852,431,73.225579234275,8,Paris,Suit,Silver,Wind,No,Electric Rocket,A008,A008
409,Unibot #409,432,73.22165279812928,8,Carthage,Suit,Silver,Wind,No,Fancy Chappie,A009,A009
804,Unibot #804,433,73.1978002807828,8,Delphi,Drying machine,Silver,Biodiesel,No,Broken Screen,A008,A008
524,Unibot #524,434,73.19246924485967,8,New York City,Drying machine,Silver,Hydraulic,No,Broken Screen,A008,A008
247,Unibot #247,435,73.19151318593018,8,Miami,Car Jack,Silver,Biodiesel,No,Lighbulb,A004,A004
21,Unibot #21,436,73.18188567640993,8,New York City,Candy Machine,Silver,Geothermal,No,Broken Screen,A009,A009
103,Unibot #103,437,73.17957954596241,8,Granada,Mustang Engine,Silver,Solar,No,Fish Tank,A010,A010
1008,Unibot #1008,438,73.17268183269672,8,Miami,Suit,Silver,Hydraulic,No,Open Helmet,A010,A010
581,Unibot #581,439,73.13626735835201,8,Yucatan,Armor 01,Silver,Solar,No,Fancy Chappie,A010,A010
126,Unibot #126,440,73.13351120740028,8,Paris,Synthetic Heart,Silver,Biodiesel,No,Googles,A001,A001
244,Unibot #244,441,73.11641000239345,8,Sahara,Car Jack,Silver,Geothermal,No,Drone,A006,A006
816,Unibot #816,442,73.11190715402003,8,New Mexico,Suit,Silver,Solar,No,Fish Tank,A006,A006
569,Unibot #569,443,73.1043793495989,8,Yucatan,Armor 04,Silver,Geothermal,No,Queen Bee,A010,A010
362,Unibot #362,444,73.09695427599243,8,Caracas,Armor 01,Silver,Biodiesel,No,Chappie,A005,A005
384,Unibot #384,445,73.09027542193971,8,Florence,Candy Machine,Silver,Solar,No,Screen,A007,A007
274,Unibot #274,446,73.07979280024529,8,Paris,Drying machine,Silver,Solar,No,Bee,A007,A007
