ID,Name,Rank,Rarity_Score,Attributes,BG Overlay 1,BG Overlay 2,Background,Ears,Extras,Eyes,Hat,Head,Head Detail,Mouth,Nose,Title
606,Inkspunk #606,673,233.9300854729317,12,Coagulated,Frosty,Newsprint 01,Ear 6,Animals,Ready,Dark Wave,Rage,Dusk,Silent,Wide,Logo 7
845,Inkspunk #845,674,233.69773787250017,12,Dawn,Icing,Newsprint 13,Ear 9,Stand,Blue,Red Hat,Rheinische,Arctic,Fear,Needle,Logo 6
431,Inkspunk #431,675,233.69513370638813,12,Dawn,Hot Sauce,Newsprint 08,Ear 2,Stand,Twenty,Storm,Skull,Head Hole,Hungry,Wide,Logo 8
622,Inkspunk #622,676,233.68852798612426,12,Power Struggle,Tundra,Newsprint 10,Ear 4,Wake Up,Yellow,Dark Wave,Blue,Black And White,Growl,Papermache,Logo 1
58,Inkspunk #58,677,233.46357192654662,12,Power Struggle,Too Hot,Newsprint 07,Ear 4,Data,Dripped,Elvis,Rage,Evil,Anguish,Surly,Logo 8
609,Inkspunk #609,678,233.46345990543182,12,Hades,Candy Floss,Newsprint 05,Ear 8,Wagmi,Suspicious,Touque,Grey,Cold,Snarl,Bulbous,Logo 4
421,Inkspunk #421,679,233.3537225291352,12,Tsunami,Tundra,Newsprint 11,Ear 11,Power,Ar,Storm,Blue,Scowl,Anguish,Broken,Logo 8
671,Inkspunk #671,680,233.22117445076952,12,Power Struggle,Frozen,Newsprint 11,Ear 8,Sleeping,Fuchsia,Straw Spikes,Blue,Hollow,Anguish,Long,Logo 7
653,Inkspunk #653,681,233.2092587637759,12,Scratches,Bubblegum,Newsprint 12,Ear 10,Sleeping,Afraid,Tourist,Blue,Black And White,Anguish,Tipsy,Logo 8
741,Inkspunk #741,682,233.20767153407323,12,New Day,Gummi,Newsprint 05,Ear 11,Wagmi,Graffiti,Traveller,Grey,Splats,Saw Tooth,Pinched,Logo 2
608,Inkspunk #608,683,233.169811425633,12,Sunset,Tundra,Newsprint 03,Ear 8,Freedom,Relaxed,Straw Spikes,Headlines,Scowl,Growl,Crooked,Logo 7
388,Inkspunk #388,684,233.13793765066777,12,Hades,Too Hot,Newsprint 09,Ear 8,Defi,Fire,Attention,Grey,Ultra Violence,Silent,Surly,Logo 5
394,Inkspunk #394,685,233.13221662192808,12,Bright Spot,Gummi,Newsprint 01,Ear 10,Animals,Hexed,Horny,Indigo,Evil,Confused,Papermache,Logo 2
670,Inkspunk #670,686,233.12954961643186,12,Scratches,Too Hot,Newsprint 13,Ear 11,Watching,Demon,Dark Wave,Blue,Cyber Skull,Renaissance,Crooked,Logo 6
849,Inkspunk #849,687,233.0273217237261,12,Bright Spot,Too Hot,Newsprint 09,Ear 3,Freedom,Fuchsia,Onelove,Grey,Ultra Violence,Shout,Papermache,Logo 5
2,Inkspunk #2,688,232.99422779217028,12,Tsunami,Icing,Newsprint 02,Ear 9,Data,Dripped,Caddy,Rage,Splats,Grillz,Needle,Logo 2
