ID,Name,Rank,Rarity_Score,Accessory,Attributes,Background,Clothes,Eyes,Head,Legendary,Mouth,Skin,Tattoo
1523,SadPython #1523,453,123.3208162281726,Strike,7,Dark,Tatoes,Painful,Punk,,Mouth 11,Stone,
2328,SadPython #2328,454,123.1127738170195,,7,Dark,Marty,Distracted,French,,Mouth 14,Honeycheese,Solana
2316,SadPython #2316,455,123.06175843865668,,6,Myday,Deliveryboy,Energetic,Livingstone,,Mouth 10,Ultramar,
2975,SadPython #2975,456,123.04679804605476,Egg,7,Cemento,Rocknrolla,Sorry,Starducks,,Mouth 9,Ruby,
1221,SadPython #1221,457,122.91548800021364,Herrig,6,Myday,Rocknrolla,Dead,,,Mouth 8,Cyan,
893,SadPython #893,458,122.76862349507793,Phone,7,95S,Starducks,Sorry,Rider,,Mouth 5,Ruby,
1593,SadPython #1593,459,122.58549600868294,,7,Myday,Starducks,Dead,Windy,,Mouth 3,Green,Solana
613,SadPython #613,460,121.94271011091281,Tnt,7,Dark,Starducks,Dazed,Jokage,,Mouth 7,Stone,
1008,SadPython #1008,461,121.76366815208031,Tnt,7,Cemento,Starducks,Sorry,Punk,,Mouth 10,Honeycheese,
719,SadPython #719,462,121.75010097551441,Fishrode,6,Misty,Rocknrolla,Sceptic,,,Mouth 10,Violet,
702,SadPython #702,463,121.70599010676996,Gun,7,Cemento,Rocknrolla,Crying,Peasant,,Mouth 15,Charcoal,
1989,SadPython #1989,464,121.62881752987398,Dope,7,Dark,Redshirt,Dead,Firefighter,,Mouth 6,Charcoal,
2116,SadPython #2116,465,121.56639118969657,Vaxpass,6,95S,Pyman,Sceptic,,,Mouth 3,Stone,
1997,SadPython #1997,466,121.53936081705506,Gun,7,Cemento,Dale,Dead,Fishman,,Mouth 1,Ruby,
2633,SadPython #2633,467,121.37523544600612,,7,Misty,Deliveryboy,Shocked,Starducks,,Mouth 3,Stone,Solana
1299,SadPython #1299,468,121.2678794070343,Herrig,6,Myday,Tatoes,Dazed,,,Mouth 10,Green,
3116,SadPython #3116,469,120.95304924851878,Tnt,7,Myday,Mets,Lament,,,Mouth 6,Green,Tezos
1528,SadPython #1528,470,120.86542220743773,Knife,7,Misty,Rocknrolla,Closed,Fishman,,Mouth 4,Violet,
2488,SadPython #2488,471,120.8328910970094,Pypotion,6,Misty,Marty,Distracted,,,Mouth 1,Violet,
1709,SadPython #1709,472,120.67015533918311,Egg,7,Cemento,Deliveryboy,Distracted,Mrsdavis,,Mouth 2,Green,
3144,SadPython #3144,473,120.65522631881846,,7,Myday,Sweater,Distracted,Jokage,,Mouth 5,Ultramar,Bitcoin
47,SadPython #47,474,120.52060885603389,Zippo,6,Myday,Casual,Crying,,,Mouth 1,Ruby,
679,SadPython #679,475,120.4472151881467,,7,Myday,Rocknrolla,Lament,French,,Mouth 2,Charcoal,Bitcoin
2275,SadPython #2275,476,120.43334806840006,,6,95S,Tommy,Sceptic,Chocohaircut,,Mouth 12,Amarillo,
1815,SadPython #1815,477,120.39459656264732,Zubenyakov,7,95S,Chester,Crying,Rider,,Mouth 9,Cyan,
2000,SadPython #2000,478,120.24430286607914,Cigarettes,7,Dark,Tatoes,Energetic,Windy,,Mouth 3,Violet,
2263,SadPython #2263,479,120.17952066048359,Dope,7,95S,Sweater,Energetic,Fishman,,Mouth 7,Ruby,
3122,SadPython #3122,480,120.10947202740702,Gun,7,Myday,Fishman,Energetic,Lordofwar,,Mouth 8,Ultramar,
2613,SadPython #2613,481,119.92953791156178,Strike,7,Misty,Redshirt,Closed,Pylice,,Mouth 13,Stone,
402,SadPython #402,482,119.85656448567649,Cigarettes,7,95S,Sweater,Lament,French,,Mouth 7,Cyan,
2799,SadPython #2799,483,119.82382804410086,Beer,7,95S,Fishman,Sorry,Lordofwar,,Mouth 4,Cyan,
3149,SadPython #3149,484,119.79592523196231,Beer,7,Cemento,Fishman,Dead,Rider,,Mouth 2,Amarillo,
404,SadPython #404,485,119.6689347107492,Knife,6,Misty,Fishman,Crying,,,Mouth 15,Stone,
2662,SadPython #2662,486,119.62669309874703,Beer,6,Cemento,Pyman,Distracted,,,Mouth 15,Pinky,
1882,SadPython #1882,487,119.54041959884592,,6,Dark,Chester,Distracted,Xtzblu,,Mouth 4,Green,
2108,SadPython #2108,488,119.52950001786058,Dope,7,Misty,Redshirt,Sceptic,Starducks,,Mouth 6,Violet,
1728,SadPython #1728,489,119.41694198853784,Egg,7,Myday,Casual,Painful,Lordofwar,,Mouth 7,Stone,
3165,SadPython #3165,490,119.29362947542391,Knife,7,Cemento,Tatoes,Sorry,Oldy,,Mouth 12,Amarillo,
2099,SadPython #2099,491,119.25023741865223,,6,Misty,Deliveryboy,Sorry,Shao,,Mouth 12,Ruby,
2479,SadPython #2479,492,119.15094140841269,,6,95S,Dale,Energetic,Mrsdavis,,Mouth 16,Stone,
1488,SadPython #1488,493,119.06107256795403,,6,Myday,Starducks,Sceptic,Shao,,Mouth 1,Violet,
2958,SadPython #2958,494,119.02032490643003,Phone,7,Misty,Sweater,Painful,Windy,,Mouth 14,Green,
117,SadPython #117,495,118.83577718851406,Dope,7,Myday,Dale,Dead,Jokage,,Mouth 5,Pinky,
3021,SadPython #3021,496,118.29917190175539,Beer,7,Misty,Prisoner,Dazed,Peasant,,Mouth 8,Honeycheese,
1360,SadPython #1360,497,118.28875451951448,Strike,7,Misty,Rocknrolla,Closed,Jokage,,Mouth 6,Cyan,
2021,SadPython #2021,498,118.25210818576424,,7,95S,Chester,Sorry,Fishman,,Mouth 6,Violet,Solana
3109,SadPython #3109,499,117.92195754915824,,6,Misty,Fishman,Energetic,Firefighter,,Mouth 16,Ultramar,
