ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
879983,Plottable Field (8 frames) #187,211,100.02362962841696,1,2,1,1,1,1,12,66,1,2,6,1
792834,Plottable Field (8 frames) #135,212,99.64793979507192,30,2,1,1,1,1,12,26,1,2,16,1
769069,Plottable Field (8 frames) #64,213,98.71815318238305,1,2,1,1,1,11,4,26,1,36,7,3
879710,Plottable Field (8 frames) #184,214,98.69827935145376,1,2,1,1,1,1,20,20,1,2,44,1
792827,Plottable Field (8 frames) #132,215,98.23936691885712,1,36,1,1,1,1,12,21,1,2,16,1
895772,Plottable Field (8 frames) #210,216,97.93272911221932,1,2,1,1,1,1,18,21,1,2,44,1
792832,Plottable Field (8 frames) #134,217,97.10313706643872,26,6,1,1,1,11,9,26,1,2,7,1
770293,Plottable Field (8 frames) #82,218,96.78158942315982,66,2,1,1,1,1,4,9,1,2,3,1
767527,Plottable Field (8 frames) #45,219,96.76605387084119,1,2,1,1,1,1,25,44,1,8,6,1
997874,Plottable Field (8 frames) #302,220,96.53821719139161,1,2,1,1,1,1,30,33,1,2,18,1
889976,Plottable Field (8 frames) #202,221,96.20508367572467,1,2,1,1,1,1,30,9,1,36,6,3
879690,Plottable Field (8 frames) #179,222,95.94701433111202,30,2,1,1,1,1,15,21,1,8,7,3
998642,Plottable Field (8 frames) #354,223,95.79637422919541,1,2,1,1,1,1,4,57,1,2,3,18
792829,Plottable Field (8 frames) #133,224,95.65535005852448,1,2,1,1,1,1,25,50,1,2,6,1
998397,Plottable Field (8 frames) #307,225,94.97834270684314,1,2,1,26,1,1,33,9,1,8,6,1
770174,Plottable Field (8 frames) #70,226,94.49424757293131,1,2,12,1,1,1,4,44,1,2,3,18
944590,Plottable Field (8 frames) #283,227,93.929159582334,1,36,1,1,1,1,9,20,1,2,16,1
1131770,Plottable Field (8 frames) #375,228,93.79102837990798,1,2,1,1,1,1,4,66,2,2,7,1
771404,Plottable Field (8 frames) #90,229,93.67323521857908,1,2,1,1,1,1,16,21,1,2,40,3
767452,Plottable Field (8 frames) #34,230,93.34151046732387,1,2,1,1,1,1,57,13,1,2,6,3
998610,Plottable Field (8 frames) #323,231,93.11469288372096,1,2,1,1,1,1,4,66,1,2,6,3
878170,Plottable Field (8 frames) #169,232,92.96507964446984,26,2,1,1,1,1,26,20,1,2,6,1
770170,Plottable Field (8 frames) #69,233,92.40242608191627,1,2,1,1,1,1,12,21,1,2,44,1
781559,Plottable Field (8 frames) #117,234,92.26471291788734,1,2,1,1,1,1,15,44,1,2,18,1
921655,Plottable Field (8 frames) #264,235,91.77817021099139,1,2,1,1,1,1,15,57,1,2,3,3
998413,Plottable Field (8 frames) #310,236,91.71762112079554,1,2,1,1,1,1,4,66,1,2,6,1
